,Year,Modle,KM,Hand,CM,Color,Area,Gearbox,Price,IsNew,IsSaved,WithoutAccidents
0,2007, מאזדה 5,200000,2,2000,לבן מטאלי,אזור רמת גן - גבעתיים,אוטומטית,29500.0,0,1,0
1,2010, מאזדה 3,100000,2,2000,אפור מטאלי,אזור חיפה וחוף הכרמל,רובוטית,36000.0,1,1,1
2,2012, מאזדה 5,168000,1,1999,שחור,אזור מושבים בשרון,אוטומטית,47000.0,0,1,0
3,2020, מאזדה 3,33000,2,2000,כחול כהה מטאלי,אזור רמת גן - גבעתיים,אוטומטית,121000.0,0,1,1
4,2012, מאזדה 3,148000,2,2000,שחור,אזור בקעת אונו,אוטומטית,37500.0,0,0,0
5,2010, מאזדה 3,182000,3,1600,אפור מטאלי,אזור אשדוד - אשקלון,אוטומטית,20000.0,0,1,0
6,2007, מאזדה MPV,225000,2,3000,אפור מטאלי,אזור באר שבע והסביבה,אוטומטית,14000.0,0,0,0
7,2008, מאזדה 6,238000,5,2000,לבן,אזור פתח תקוה והסביבה,אוטומטית,13000.0,0,0,0
8,2008, מאזדה 6,135000,2,2000,שחור מטאלי,אזור ירושלים והסביבה,אוטומטית,23900.0,0,1,0
9,2010, מאזדה 5,244000,0,1999,לבן,אזור באר שבע והסביבה,אוטומטית,21000.0,0,0,0
10,2018, מאזדה 3,50200,1,2000,כחול בהיר מטאלי,אזור גדרה יבנה והסביבה,אוטומטית,98000.0,1,0,0
11,2012, מאזדה 3,207000,2,1999,לבן פנינה,אזור פתח תקוה והסביבה,אוטומטית,32000.0,0,1,0
12,2005, מאזדה 6,230000,3,2300,כסוף מטאלי,אזור ירושלים והסביבה,אוטומטית,14000.0,0,1,0
13,2008, מאזדה 3,189000,4,1590,אפור מטאלי,אזור רעננה - כפר סבא,אוטומטית,16000.0,0,1,0
14,2004, מאזדה 6,184000,3,2300,אפור,אזור כרמיאל והסביבה,אוטומטית,10000.0,1,0,0
15,2007, מאזדה 3,180000,4,1600,זהב,אזור בקעת אונו,אוטומטית,10000.0,0,1,0
16,2006, מאזדה 3,300000,4,2000,כסוף,"אזור ראשל""צ והסביבה",אוטומטית,16500.0,0,1,0
17,2013, מאזדה 2,28000,2,1498,כסוף מטאלי,אזור חולון - בת ים,אוטומטית,40500.0,0,0,0
18,2008, מאזדה 3,197000,3,1598,כסוף,אזור אשדוד - אשקלון,אוטומטית,16500.0,0,0,0
19,2001, מאזדה 626,290000,3,1991,ברונזה,אזור יישובי השומרון,אוטומטית,2000.0,0,0,0
20,2019, מאזדה 3,12000,1,1998,לבן מטאלי,אזור תל אביב,אוטומטית,120000.0,1,0,0
